all,english--aus,57.89473684210526,73.23326966327286,494
all,english--gbr,58.097165991902834,73.29604676624437,494
all,english--ind_n,55.465587044534416,70.28129549448639,494
all,english--ind_s,56.072874493927124,70.962656672452,494
all,english--irl,57.69230769230769,72.99945572322248,494
all,english--kenya,55.465587044534416,70.63490321863227,494
all,english--nga,56.88259109311741,72.52537839477385,494
all,english--nzl,58.29959514170041,73.61724241566667,494
all,english--phl,58.097165991902834,73.74715041612812,494
all,english--usa,57.69230769230769,73.51082157788638,494
all,english--zaf,58.29959514170041,73.50146974928671,494
all,english-total,57.26904674273095,72.57360819018636,5434
all,arabic--bhr,54.629629629629626,70.95560796465149,324
all,arabic--dza,52.160493827160494,68.63464856131222,324
all,arabic--egy,53.39506172839506,70.06212951781608,324
all,arabic--jor,53.7037037037037,70.60194972451981,324
all,arabic--mar,53.7037037037037,70.94176423100097,324
all,arabic--sau,54.629629629629626,70.96295658311122,324
all,arabic--tun,54.32098765432099,71.35796325831113,324
all,arabic-total,53.791887125220455,70.50243140581755,2268
all,swahili--kenya,62.4,72.06315266909418,1000
all,swahili--tanzania,61.8,71.08277852495146,1000
all,swahili-total,62.1,71.57296559702283,2000
all,korean--korn,3.3333333333333335,9.603896103896101,60
all,korean--kors,3.3333333333333335,9.270562770562771,60
all,korean-total,3.3333333333333335,9.437229437229437,120
all,bengali--dhaka,54.205607476635514,68.98457202195519,107
all,bengali--ind,53.271028037383175,67.6438955644563,107
all,bengali-total,53.73831775700935,68.31423379320577,214
all,all_language,56.72578716620168,71.06039717936724,10036
